geoid,name,households,working_age_hh,mhi,wahi,ratio,share_65plus_pct,share_under25_pct,reliable,flag,gap_anchored_mhi,gap_anchored_wahi,gap_anchored_ami
48301,Loving County,27,3,51250,175000,3.1818,88.9,0.0,0,0,9,0,6
1882862,West Lafayette city,15062,5921,34891,80190,2.2975,14.0,46.7,1,1,-647,-959,-459
3628618,Geneseo village,2027,1010,46589,98944,2.0692,22.3,27.9,0,0,-164,-48,-27
2639360,Houghton city,2251,946,43456,87360,2.0544,18.9,39.1,0,0,-94,-68,-73
48243,Jeff Davis County,966,486,59286,114286,1.9616,49.7,0.0,0,0,-48,14,10
4862600,Robstown city,3784,2185,34436,65625,1.9375,41.2,1.0,0,0,-44,-37,103
4139150,King City city,2744,1017,63684,120423,1.9331,62.6,0.3,1,1,-23,-110,-112
2624120,East Lansing city,13850,5968,45687,88000,1.9251,18.5,38.4,1,1,-1022,-560,-196
3707080,Boone town,5975,2231,30065,55839,1.8569,14.5,48.1,0,0,-176,-752,-346
5107784,Blacksburg town,13840,7524,50182,91009,1.8167,15.0,30.6,1,1,-1391,-556,-389
48155,Foard County,437,255,61563,109028,1.7955,36.8,4.8,0,0,25,3,7
0670686,Seal Beach city,12837,5031,85964,151394,1.7538,60.0,0.8,1,1,76,3,201
31091,Hooker County,327,164,49464,86310,1.7338,32.7,17.1,0,0,18,12,8
4215192,Collegeville borough,1614,1009,91466,161007,1.7308,35.8,1.7,1,1,71,-45,9
2136604,Highland Heights city,2528,1358,53275,94665,1.7009,30.7,15.6,0,0,-148,152,92
1740884,Lake Barrington village,2384,1080,141958,239525,1.6975,54.7,0.0,0,0,-36,-56,-6
1267675,South Pasadena city,3363,920,53075,91267,1.6907,71.6,1.0,0,0,141,-232,-135
2153418,Morehead city,1854,1024,36741,63038,1.6891,17.5,27.3,0,0,-127,72,58
3659564,Potsdam village,2483,1329,34546,57318,1.6738,29.0,17.5,0,0,-166,-112,106
5356625,Pullman city,12682,6707,46812,78467,1.673,11.3,35.8,1,1,-1690,43,-3
3959234,Oxford city,6082,2820,40764,67182,1.6387,18.0,35.6,0,0,-303,-98,-73
4863020,Roma city,3299,1950,24579,40207,1.638,36.0,4.8,0,0,-104,-67,65
0668154,San Luis Obispo city,20441,9793,73685,121117,1.6372,24.0,28.1,1,1,-1369,-540,70
30075,Powder River County,708,376,67045,106985,1.6338,43.4,3.5,0,0,51,10,12
5586925,Whitewater city,5229,2440,54969,89227,1.606,16.8,36.5,1,1,21,275,149
1746786,Marengo city,2719,1727,73523,113122,1.6043,30.1,6.4,0,0,61,34,41
38069,Pierce County,1854,974,59365,94444,1.6009,35.1,12.4,0,0,67,11,11
4514950,Clemson city,7868,3657,49520,79035,1.6006,22.2,31.3,0,0,-107,249,-75
2615020,Chelsea city,2764,1397,72098,109976,1.5998,48.8,0.7,0,0,-247,13,-22
2689260,Zeeland city,2396,1408,52628,85553,1.5893,37.0,4.2,0,0,-16,-13,-8
1884950,Winona Lake town,1820,1216,82188,140698,1.5887,25.3,7.9,0,0,31,15,24
4271776,Somerset borough,2845,1628,47102,73220,1.5883,35.2,7.6,0,0,97,25,60
5130208,Galax city,2763,1661,38675,61422,1.5851,33.8,6.1,0,0,-73,141,130
51640,Galax city,2763,1661,38675,61422,1.5851,33.8,6.1,0,0,-73,141,130
3902736,Athens city,7238,3820,38204,61985,1.5837,13.1,34.1,0,0,-556,-367,-28
0150192,Monroeville city,2413,1259,32513,52331,1.577,35.8,12.0,0,0,89,101,91
0546580,Monticello city,3688,2244,27238,41650,1.5755,28.2,11.0,0,0,-279,-51,202
2633280,Grand Blanc city,3471,2270,68052,107320,1.5743,27.6,7.0,0,0,244,28,119
2261615,Ponchatoula city,3449,2263,51161,79136,1.5722,33.7,0.7,0,0,-52,120,109
0416410,Cottonwood city,6592,2899,48448,77387,1.5682,51.3,4.8,1,1,-55,115,146
4753000,Newport city,3066,1798,31250,49714,1.5678,31.1,10.2,0,0,114,-37,104
4768540,Signal Mountain town,3351,2016,141008,213678,1.5577,39.2,0.6,0,0,21,3,42
0513450,Cherokee Village city,2224,1151,37326,61374,1.5572,46.4,1.9,0,0,7,25,49
4815976,College Station city,46214,26888,50900,79068,1.5444,11.7,30.1,1,1,-2684,-872,-131
53075,Whitman County,18721,10488,55406,85000,1.5413,19.3,24.7,1,1,-601,169,91
3912168,Carlisle city,2228,1241,71136,111024,1.5412,33.6,10.7,1,1,66,30,31
49031,Piute County,555,228,48393,73889,1.5389,58.9,0.0,0,0,0,6,3
3917036,Columbiana city,3458,1912,54688,85852,1.5383,42.6,2.1,0,0,267,72,61
3913554,Chardon city,2156,1352,86613,131545,1.5337,32.2,5.1,0,0,36,20,9
2418750,College Park city,9007,4847,69721,108061,1.528,15.0,31.2,0,0,-418,-472,-158
1842462,Lawrenceburg city,2294,1469,51250,77969,1.5272,31.8,4.1,0,0,-3,46,29
4572430,Travelers Rest city,2423,1440,54583,85690,1.5244,36.5,4.0,0,0,-62,53,30
4829432,Giddings city,2201,1365,72913,104738,1.5243,29.0,9.0,0,0,91,24,33
3650551,New Paltz village,2538,1192,52774,77273,1.5239,19.1,33.9,0,0,-153,-423,31
3579840,Truth or Consequences city,2598,1447,33788,52190,1.5234,42.3,2.0,0,0,-50,71,119
3638077,Ithaca city,14167,7475,48784,74138,1.5228,15.5,31.7,0,0,-175,-898,-657
0107912,Boaz city,3514,2334,49846,75720,1.5192,26.9,6.6,0,0,95,101,112
4838080,Joshua city,3195,2184,68117,102100,1.5159,28.5,3.1,0,0,-265,0,13
39121,Noble County,4619,2130,56098,85253,1.5157,53.3,0.6,1,1,74,55,45
2739428,Mahtomedi city,2985,1777,123319,187083,1.5151,39.2,1.2,0,0,-111,12,-84
37177,Tyrrell County,1547,788,41685,61964,1.5142,46.3,2.7,0,0,22,49,31
2430900,Frostburg city,2749,1466,52977,78826,1.5117,28.2,18.5,0,0,15,115,27
48269,King County,111,73,46645,72500,1.5112,34.2,0.0,0,0,16,7,13
5127440,Farmville town,2576,1122,40966,63323,1.5101,31.1,25.4,0,0,45,32,88
4870208,Stephenville city,8247,4805,53015,78236,1.5096,19.7,22.1,1,1,-230,85,76
2122204,Douglass Hills city,2715,1460,78482,120517,1.5083,41.0,5.2,0,0,78,29,60
48045,Briscoe County,553,352,45417,68438,1.5041,36.2,0.2,0,0,3,24,33
4256576,Old Forge borough,3786,2016,71812,107265,1.5025,43.4,3.4,0,0,64,49,63
1753234,Normal town,20387,11394,64785,97900,1.5021,20.7,23.5,1,1,-94,114,107
1724543,Eureka city,2199,1196,56048,79330,1.5018,36.6,9.0,0,0,29,56,20
1264975,Seminole city,9084,4830,75774,114732,1.5009,46.1,0.7,1,1,-113,-23,-23
1736750,Huntley village,12213,5816,88536,133009,1.4984,52.1,0.2,1,1,-55,-1,1
38027,Eddy County,1173,720,50850,76128,1.4978,35.5,3.2,0,0,60,55,27
3122640,Holdrege city,2528,1535,55789,87866,1.4973,30.1,9.1,0,0,52,97,71
3579910,Tucumcari city,2720,1736,31844,48387,1.4961,27.5,8.7,0,0,-90,-103,85
5313855,College Place city,3417,1845,61914,95428,1.4954,33.8,12.2,0,0,-104,17,49
38041,Hettinger County,1130,634,73026,100647,1.4929,39.5,4.4,1,1,21,22,18
4809916,Brady city,2277,1428,46250,70189,1.491,33.7,3.6,0,0,109,49,38
1757381,Palos Heights city,4779,2538,108740,161530,1.4897,46.9,0.0,1,1,16,-38,-11
3721095,Elon town,2456,1352,84773,125439,1.4875,34.9,10.0,0,0,7,-163,-17
4273808,State College borough,11257,5604,45424,67408,1.487,15.2,35.0,1,1,-1248,-597,-204
1314500,Cedartown city,3728,2374,34754,51417,1.4838,22.6,13.7,0,0,-343,-343,246
3678355,Warwick village,2991,1525,89609,134233,1.4788,49.0,0.0,0,0,13,48,41
13037,Calhoun County,1593,962,46940,70000,1.4785,36.0,3.6,0,0,43,84,83
4257696,Palmerton borough,2802,1683,68143,101239,1.4773,37.9,2.1,0,0,54,67,63
1728846,Geneseo city,2954,1749,70147,105363,1.4768,38.7,2.1,0,0,84,6,11
4286880,Wyomissing borough,5033,2865,93203,133239,1.4757,41.5,1.6,0,0,-166,55,-99
1205300,Belle Isle city,2998,1879,104559,160654,1.4751,37.3,0.0,0,0,31,13,17
3605034,Bayville village,2595,1682,149191,220107,1.4733,35.2,0.0,0,0,7,36,15
3659388,Port Jervis city,3586,2181,47917,69581,1.4721,36.5,2.7,0,0,-301,-193,29
01129,Washington County,5963,3739,61042,89428,1.4692,32.7,4.6,0,0,66,46,52
0807850,Boulder city,44432,26134,87493,131972,1.4676,20.6,20.6,1,1,-3039,-760,-696
2627760,Fenton city,5208,3518,80000,111826,1.4675,25.9,6.5,0,0,199,-13,168
0150312,Montevallo city,2499,1501,56626,83426,1.4668,31.3,8.6,1,1,-61,53,67
1736061,Hoopeston city,1999,1294,60861,91281,1.4629,26.8,8.5,0,0,35,176,178
0640438,Larkspur city,6018,3690,140417,209990,1.4608,38.7,0.0,0,0,-236,-3,-2
38019,Cavalier County,1560,845,69531,102627,1.4604,40.9,4.9,0,0,9,13,12
3702840,Ayden town,2279,1495,42413,62723,1.4604,30.1,4.3,0,0,-125,67,24
17151,Pope County,1385,722,60050,87637,1.4594,46.7,1.2,1,1,26,11,9
2042875,Louisburg city,2178,1238,68824,105169,1.4569,39.7,3.4,1,1,-159,62,48
4252320,Munhall borough,5154,3188,52517,79503,1.4558,31.6,6.5,0,0,-26,198,105
5455756,Morgantown city,11946,6614,44727,64787,1.4526,18.7,26.0,1,1,-626,106,53
0132848,Hamilton city,2577,1415,54871,78900,1.4513,42.5,2.6,0,0,89,114,124
3924234,Eaton city,3803,2387,51467,73379,1.4503,34.1,3.1,0,0,14,199,191
2310565,Caribou city,3542,2081,53709,76804,1.4485,36.8,4.4,0,0,34,99,63
48283,La Salle County,1647,1006,57716,83553,1.4468,36.6,2.3,0,0,25,7,7
5645050,Laramie city,14527,8221,55613,82189,1.4464,16.5,26.9,1,1,185,544,302
0157120,Opp city,2707,1501,41347,60384,1.4451,41.2,3.4,0,0,28,61,46
5677530,Torrington city,2503,1359,47902,69779,1.4441,40.2,5.5,0,0,-13,89,33
30019,Daniels County,734,382,55625,81707,1.4419,48.0,0.0,0,0,20,6,2
2681540,Utica city,2489,1528,58718,84390,1.4414,36.9,1.7,1,1,61,-12,-77
51141,Patrick County,7781,4493,53038,76825,1.4414,39.3,3.0,1,1,229,172,161
45005,Allendale County,3238,2000,32328,47807,1.4404,34.4,3.8,0,0,7,53,88
3771500,Waynesville town,5035,2767,54923,78852,1.4394,38.1,6.9,1,1,-38,127,137
48011,Armstrong County,767,444,72750,106731,1.4389,32.9,9.3,0,0,34,27,43
22035,East Carroll Parish,2617,1641,33341,47649,1.4382,30.0,7.3,0,0,-72,0,172
31117,McPherson County,212,100,58684,78571,1.4354,30.7,22.2,0,0,10,7,7
5321240,Ellensburg city,8972,4933,55438,78143,1.4332,15.9,29.1,1,1,-678,-106,-15
3473020,Tinton Falls borough,8700,5262,117308,171960,1.4329,39.5,0.0,1,1,-31,-5,2
4830416,Granbury city,5279,3080,73516,103849,1.4324,40.4,1.3,0,0,118,187,168
1764304,River Forest village,4460,2944,146786,209079,1.4312,34.0,0.0,0,0,0,-6,4
38083,Sheridan County,675,335,62639,87750,1.4303,43.7,6.7,0,0,16,24,14
0135800,Homewood city,9830,6827,94485,137111,1.4301,22.3,8.2,0,0,-61,68,-7
38091,Steele County,806,425,77500,109476,1.4299,44.4,2.9,0,0,26,15,11
0609864,Calimesa city,3965,2521,87181,130578,1.4283,36.4,0.0,0,0,58,26,30
1753663,Northfield village,2302,1290,161500,235878,1.4281,42.9,1.1,0,0,19,29,9
3907972,Bowling Green city,12056,5985,45154,64466,1.4279,18.1,32.2,0,0,-584,638,312
30055,McCone County,798,412,69375,93860,1.4274,46.1,2.3,0,0,14,14,13
0602042,Anderson city,4825,3279,47375,67711,1.4251,28.4,3.6,0,0,-198,-49,46
3151840,Wayne city,2182,1132,53702,78475,1.425,21.9,26.2,0,0,130,131,85
48351,Newton County,4841,2950,42618,62224,1.4249,36.5,2.5,0,0,-29,88,62
2957278,Pevely city,2366,1629,56000,77473,1.4241,22.4,8.7,0,0,104,59,4
48461,Upton County,1360,914,49167,68761,1.4226,27.3,5.5,0,0,-16,4,10
21119,Knott County,5521,3506,41761,59727,1.4226,34.3,2.2,0,0,26,189,189
4171650,Sutherlin city,4244,2675,51250,74132,1.4222,34.1,2.9,0,0,75,-186,-115
27151,Swift County,4121,2436,60412,86272,1.422,36.8,4.1,1,1,86,87,47
3951716,Montgomery city,3993,2473,150995,216543,1.4219,38.1,0.0,0,0,18,24,52
4242472,Lehighton borough,1912,1209,64651,97900,1.4212,27.4,9.4,0,0,101,94,76
1251825,Orange City city,6440,3668,57800,84154,1.4212,39.6,3.4,0,0,-114,-111,-32
0618100,Davis city,25358,13343,90045,127825,1.4206,21.8,25.6,1,1,-2670,-1445,-1346
2971746,Sunset Hills city,3625,2083,138144,201240,1.4181,42.3,0.2,0,0,-42,-120,-2
1376168,Thomaston city,3956,2655,38917,56085,1.4178,30.8,2.1,0,0,-312,75,230
2720330,Fairmont city,4884,2866,53084,75000,1.4169,37.9,3.4,1,1,59,95,84
1868526,Scottsburg city,3149,2094,38578,54961,1.4166,27.7,5.8,0,0,-184,155,172
46071,Jackson County,830,584,35417,50137,1.4163,26.9,2.8,0,0,-30,21,13
4515295,Clinton city,2472,1634,44522,62649,1.4159,24.5,9.4,0,0,-130,231,179
4868624,Snyder city,4307,2760,57902,81412,1.4149,27.5,8.5,0,0,74,163,171
3464050,Rockaway borough,2711,1940,107053,155990,1.412,26.4,2.0,0,0,26,110,94
4222608,Edinboro borough,1946,1223,48173,66151,1.4109,15.7,21.5,0,0,4,70,-21
2054250,Paola city,2594,1465,74662,104363,1.4107,36.0,7.6,0,0,105,96,63
2752522,Princeton city,2039,1111,62219,87997,1.4095,37.5,8.0,0,0,24,3,
1670660,Rupert city,2188,1460,54741,75395,1.4089,24.3,9.0,1,1,23,101,65
4544575,Marion city,2520,1381,30662,44033,1.4086,45.2,0.0,0,0,22,38,57
08095,Phillips County,1952,1259,64674,91820,1.4076,32.3,3.2,0,0,-4,22,21
17181,Union County,6868,3989,55728,78280,1.407,38.0,3.9,0,0,54,140,138
1241950,Macclenny city,2545,1726,73942,104491,1.4066,30.1,2.1,0,0,2,23,21
4724360,Erwin town,2611,1734,47487,67822,1.4064,32.7,0.9,0,0,27,65,95
12043,Glades County,4500,2575,45870,64851,1.4054,40.4,2.3,0,0,-28,96,52
3944632,Logan city,2643,1751,57882,82441,1.4049,25.3,8.4,1,1,55,47,42
5109656,Bridgewater town,2179,1199,75280,106106,1.4045,40.8,4.2,0,0,-58,67,71
2049100,Mulvane city,2527,1517,74039,102194,1.4043,39.1,0.9,0,0,38,26,14
3464590,Roseland borough,2513,1525,164458,236373,1.4039,38.0,1.4,0,0,7,67,-22
1240450,Lighthouse Point city,5373,3049,92135,130367,1.4031,42.0,1.2,0,0,-61,-32,-42
48075,Childress County,1838,1000,58654,80000,1.4015,44.2,1.4,0,0,43,90,91
0617022,Crescent City city,1693,1124,35540,50312,1.4014,28.9,4.7,0,0,109,-340,97
4868036,Sinton city,1907,1144,51701,75921,1.4013,27.3,12.7,0,0,29,58,78
2803980,Bay St. Louis city,5088,3051,67442,94812,1.4,37.8,2.2,0,0,-81,46,18
4236816,Indiana borough,5218,3164,40857,57296,1.3993,17.5,21.9,0,0,-251,16,138
3140605,Ralston city,2872,1886,69403,100779,1.3993,25.0,9.3,1,1,22,90,61
56001,Albany County,17083,9761,61917,86685,1.3992,19.7,23.1,1,1,326,498,324
2977092,Warrensburg city,7441,4515,57067,80301,1.3987,17.5,21.8,0,0,206,284,216
5311825,Cheney city,4772,2417,54503,78458,1.3977,18.9,30.4,0,0,-414,279,181
2906976,Bolivar city,4475,2452,49622,69545,1.3975,36.1,9.1,0,0,146,194,150
30059,Meagher County,927,481,71932,95427,1.3974,42.7,5.4,0,0,29,5,7
3953312,Munroe Falls city,2082,991,81214,114104,1.3969,52.4,0.0,0,0,-8,17,3
3819420,Devils Lake city,3747,2240,43220,60284,1.3966,31.7,8.6,0,0,3,384,103
0115136,Clanton city,3774,2117,47520,66537,1.3965,35.7,8.2,0,0,-18,7,269
2501370,Amherst Town city,9700,4666,66968,95978,1.3963,25.8,26.1,1,1,-340,-695,-135
0430270,Guadalupe town,1590,1036,51354,73929,1.3961,33.6,1.2,0,0,31,25,25
0803620,Aspen city,4105,2818,74033,102174,1.3957,20.4,11.0,0,0,1,-244,37
32017,Lincoln County,1717,994,72307,98658,1.3949,38.9,3.2,0,0,17,9,12
48415,Scurry County,5876,3799,60039,83804,1.3947,28.1,7.2,1,1,100,202,201
4275648,Swarthmore borough,2067,1321,152361,229768,1.3937,35.1,1.0,0,0,55,82,44
13263,Talbot County,2529,1398,41597,59273,1.3934,44.7,0.0,0,0,27,-39,36
3952010,Moraine city,2692,1970,48788,68649,1.3929,18.8,8.0,0,0,-250,-48,65
48193,Hamilton County,3120,1755,58219,78864,1.3928,43.1,0.6,0,0,8,66,68
48443,Terrell County,451,216,44886,62400,1.3927,52.1,0.0,0,0,8,0,4
29137,Monroe County,3468,1979,54516,74774,1.3921,40.8,2.2,0,0,141,124,107
3517960,Corrales village,3551,1737,102307,148835,1.3902,51.0,0.1,0,0,18,19,18
2771032,Winona city,10786,6005,56337,78089,1.3894,26.4,18.0,1,1,-78,419,226
2405550,Bel Air town,5042,3323,74605,103650,1.3891,30.1,4.0,0,0,-160,69,96
30007,Broadwater County,2822,1766,70374,96076,1.389,36.1,1.3,0,0,34,0,-2
38065,Oliver County,725,403,77240,110776,1.3889,44.4,0.0,0,0,12,1,1
54027,Hampshire County,8643,4824,63116,88845,1.3888,42.4,1.8,1,1,267,228,127
1757875,Park Ridge city,14867,9956,142986,199782,1.3882,32.5,0.5,1,1,14,186,-51
2978154,Webster Groves city,9446,6012,115227,160573,1.3878,32.8,3.5,0,0,73,-87,88
3665893,Scotia village,3303,2229,76525,107758,1.3878,31.5,1.0,0,0,68,46,33
46055,Haakon County,687,407,65625,92188,1.3874,38.3,2.5,0,0,34,22,19
2734172,Lake City city,2284,1290,72244,95558,1.387,40.6,2.9,0,0,24,15,14
2870240,Starkville city,12004,6615,42125,59387,1.3867,14.1,30.8,1,1,-825,226,476
30065,Musselshell County,2148,1158,58920,81583,1.3862,42.8,3.3,1,1,-36,-30,12
1782101,Wilmington city,2296,1422,66154,91170,1.3859,33.2,4.8,0,0,74,31,21
4859336,Prairie View city,1478,637,21060,30519,1.3859,22.3,34.6,0,0,155,-21,-11
5558000,North Fond du Lac village,2185,1448,62832,87597,1.3857,29.8,3.9,0,0,63,20,36
3641553,Lawrence village,2072,1114,170000,218862,1.3856,46.2,0.0,0,0,59,81,49
38095,Towner County,989,616,67350,93438,1.3855,32.0,5.8,0,0,32,17,12
1352192,Monroe city,5197,3537,44656,61723,1.3854,26.4,5.5,1,1,-174,-132,87
0174976,Tarrant city,2609,1722,42070,58632,1.3853,27.3,6.7,0,0,-85,56,184
1983145,Webster City city,3250,1894,63430,90758,1.3837,32.9,8.8,1,1,187,108,93
1753481,Northbrook village,13302,7615,157782,214314,1.3829,41.9,0.9,0,0,57,179,-77
2163138,Princeton city,2367,1569,47411,67240,1.3827,28.7,5.0,0,0,84,74,151
4257480,Oxford borough,2174,1336,67733,96875,1.3824,30.9,7.7,0,0,-151,-54,-41
0683346,Walnut Creek city,33072,18836,130432,181847,1.3819,41.2,1.8,1,1,-714,687,518
1931350,Glenwood city,2063,1264,71790,100527,1.3813,36.5,2.2,0,0,95,22,17
4846740,Marlin city,2073,1244,36426,51379,1.3811,32.0,8.0,0,0,12,50,103
54041,Lewis County,6967,4402,56477,77412,1.381,34.4,2.4,0,0,206,215,187
1276525,West Miami city,2698,1858,61274,89264,1.3806,26.3,4.9,0,0,80,-371,-96
4751540,Munford city,2318,1585,89531,127536,1.3803,24.8,6.8,0,0,14,23,6
2031100,Hays city,9003,5036,58459,80036,1.3798,24.8,19.3,1,1,69,297,178
31005,Arthur County,185,110,76250,104630,1.3797,40.5,0.0,0,0,6,4,3
4233744,Hellertown borough,2398,1490,72813,101931,1.3796,34.4,3.5,0,0,-1,73,67
48083,Coleman County,3343,1730,49159,67362,1.3789,44.7,3.5,0,0,34,-2,59
37199,Yancey County,8130,4638,58709,80772,1.3776,39.8,3.1,1,1,156,187,187
1938595,Iowa City city,30816,17168,58546,80938,1.3772,19.7,24.6,1,1,-286,120,22
72061,Guaynabo Municipio,36309,21502,46731,65067,1.3762,40.1,0.7,1,1,551,552,614
21041,Carroll County,4178,2919,56466,79199,1.3755,28.6,1.6,0,0,51,226,221
1722697,Edwardsville city,9828,6248,86721,126105,1.375,22.8,13.7,1,1,146,39,73
4250880,Moosic borough,2396,1378,80187,106553,1.3749,39.2,3.3,0,0,91,41,69
19009,Audubon County,2596,1559,58229,79031,1.3744,34.6,5.4,1,1,41,58,50
3627419,Fredonia village,3825,2152,50433,69336,1.3734,30.9,12.8,0,0,-34,-21,24
48307,McCulloch County,3297,1976,54043,74746,1.3733,37.6,2.5,0,0,106,84,55
1743965,Litchfield city,3148,1844,53958,76175,1.3726,35.5,5.9,0,0,41,131,98
4526305,Forest Acres city,4972,3009,78306,107500,1.3723,35.7,3.8,1,1,69,49,55
56031,Platte County,3848,2235,67718,93082,1.372,41.6,0.4,0,0,167,76,66
5519400,Delafield city,3209,1874,94806,133333,1.3717,35.6,6.0,0,0,30,43,51
0659500,Rancho Mirage city,9003,3206,107364,147276,1.3715,63.1,1.3,0,0,18,12,12
5551150,Mequon city,9444,5695,144051,198868,1.3715,39.7,0.0,1,1,37,135,-34
1228000,Gulf Breeze city,2802,1431,104050,146256,1.3702,48.5,0.4,1,1,57,-66,49
2603000,Ann Arbor city,50499,29318,82212,112572,1.3702,19.5,22.4,1,1,-2820,-801,239
05135,Sharp County,6856,4036,44637,61268,1.3702,39.1,2.0,0,0,64,233,263
0411300,Cave Creek town,2437,1148,107067,147475,1.3702,52.9,0.0,0,0,-20,-10,-21
48169,Garza County,1463,859,46314,64912,1.3699,33.7,7.6,0,0,38,102,49
17175,Stark County,2285,1358,62878,88281,1.3695,35.8,4.8,1,1,70,48,25
46069,Hyde County,503,290,73472,98810,1.3694,42.3,0.0,0,0,6,2,3
4172500,Talent city,3152,1878,62543,83241,1.3687,33.3,7.1,0,0,-395,-190,75
05117,Prairie County,3256,1792,51646,72214,1.3685,40.7,4.3,1,1,1,66,88
0129992,Glencoe city,1996,1238,68517,93710,1.3679,36.4,1.6,0,0,37,27,39
2581005,Winthrop Town city,7899,5252,116167,158422,1.3677,31.5,2.0,1,1,-156,169,256
56035,Sublette County,3693,2150,83597,114489,1.3676,39.4,2.4,0,0,48,44,41
13283,Treutlen County,2261,1427,55518,73252,1.3672,31.0,5.8,0,0,109,136,125
2633340,Grand Haven city,5510,3080,60669,83525,1.3669,38.6,5.5,0,0,79,107,61
20107,Linn County,4348,2689,59069,80755,1.3662,34.9,3.3,0,0,117,104,30
21129,Lee County,2595,1597,37568,50561,1.3659,34.7,3.8,0,0,-20,-5,93
3922456,Dover city,5544,3258,64276,89770,1.365,37.3,4.0,0,0,188,300,318
3976876,Tipp City city,4382,2791,78098,104462,1.3645,32.7,3.6,0,0,184,79,83
21139,Livingston County,3603,2109,58984,80962,1.3643,37.4,4.1,1,1,39,42,42
5565050,Prairie du Chien city,2192,1231,54268,71652,1.364,39.0,4.8,0,0,97,50,51
26061,Houghton County,14305,8144,58899,80604,1.3638,29.9,13.2,1,1,79,85,25
3935252,Highland Heights city,3566,2103,122863,164226,1.3637,40.7,0.3,1,1,-21,9,-8
0655520,Paradise town,3351,1296,67687,86483,1.3631,56.6,4.8,0,0,-24,138,108
4826160,Floresville city,2951,1900,65270,83770,1.363,29.7,5.9,0,0,5,217,179
1803664,Batesville city,3002,2011,62292,89384,1.3629,24.9,8.1,0,0,110,59,52
38011,Bowman County,1291,742,72109,100536,1.3627,36.9,5.7,1,1,32,26,21
4830392,Graham city,3566,2049,63587,88470,1.3624,32.6,9.9,0,0,-41,107,100
4607580,Brookings city,9145,5214,63493,86747,1.3623,20.5,22.5,1,1,572,269,186
48069,Castro County,2413,1442,56776,72398,1.3623,33.2,7.0,0,0,92,63,49
2671140,Saline city,3991,2121,88346,119258,1.3622,43.4,3.5,1,1,202,61,14
4252432,Murrysville municipality,8367,4755,121823,163992,1.3621,42.5,0.7,1,1,52,71,71
06091,Sierra County,1219,580,63355,82955,1.3609,52.4,0.0,0,0,133,75,23
4743780,Loudon city,2451,1523,53650,75488,1.3608,36.0,1.8,0,0,-8,104,105
0677364,Susanville city,3828,2390,61641,84085,1.36,34.4,3.2,1,1,54,172,172
2801260,Amory city,2678,1687,52901,71250,1.3594,28.6,8.4,1,1,-18,93,94
3712340,Cherryville city,2316,1452,70625,94118,1.3588,31.7,5.6,0,0,116,62,45
4534495,Hollywood town,2309,1170,73693,99379,1.3587,48.7,0.6,0,0,-66,19,13
28105,Oktibbeha County,21840,12062,46695,63392,1.3583,18.7,26.1,1,1,-699,392,440
48175,Goliad County,2811,1677,59359,80469,1.3579,40.0,0.3,0,0,40,49,42
35021,Harding County,286,145,48553,64500,1.3579,48.3,1.0,0,0,5,3,8
1330956,Fort Oglethorpe city,4615,2612,51867,71683,1.3574,38.6,4.8,0,0,75,242,231
1751453,Murphysboro city,3373,1901,44154,59838,1.3567,34.0,9.6,0,0,-79,314,165
4604380,Belle Fourche city,2455,1504,65071,82765,1.3557,26.6,12.1,0,0,-75,140,81
1312624,Camilla city,2116,1561,38137,49167,1.3554,24.8,1.5,0,0,-357,2,136
2610620,Brighton city,3764,2133,80682,109874,1.3554,38.8,4.5,0,0,110,50,7
1262425,Safety Harbor city,6960,4320,106830,139865,1.3537,36.5,1.5,0,0,112,95,96
01029,Cleburne County,5980,3758,55345,75272,1.3529,35.0,2.2,1,1,176,145,130
3454570,Oceanport borough,2687,1666,126094,172910,1.3523,38.0,0.0,0,0,-13,1,-7
1278300,Winter Park city,12846,7654,105724,143304,1.3522,37.1,3.3,1,1,-19,226,14
4938710,Ivins city,4041,2001,78089,107547,1.3518,47.4,3.1,1,1,-145,-28,-32
4070300,Stillwater city,19654,10856,43700,59718,1.3514,17.6,27.2,1,1,-1443,267,387
2540115,Melrose city,12401,8621,133953,180058,1.3509,29.7,0.8,1,1,-12,443,402
4809556,Borger city,4208,2767,61583,84629,1.3507,30.3,3.9,0,0,68,129,99
29186,Ste. Genevieve County,7137,4484,66339,92168,1.3507,34.7,2.5,1,1,273,180,161
2608300,Big Rapids city,3133,1544,43858,58235,1.3503,21.5,29.2,0,0,-128,86,78
2907318,Boonville city,2710,1578,56429,76667,1.35,34.7,7.1,1,1,62,136,142
5513375,Cedarburg city,5445,3490,84896,119802,1.3496,30.7,5.2,0,0,364,64,205
2436500,Hampstead town,2731,1994,97871,129395,1.3493,24.9,2.1,1,1,46,20,21
0103076,Auburn city,30174,19467,63668,86915,1.3488,16.4,19.1,1,1,-568,450,519
48047,Brooks County,2977,1835,47764,65117,1.3488,29.8,8.5,0,0,30,92,33
5332300,Hoquiam city,3700,2243,49795,67169,1.3488,35.6,3.8,1,1,-129,0,52
46021,Campbell County,754,467,68929,95508,1.3487,37.1,0.9,0,0,11,9,10
27091,Martin County,8839,5232,59507,80283,1.3484,37.0,3.8,1,1,157,246,168
5567320,Rib Mountain village,2977,1824,94294,129433,1.3483,37.9,0.8,1,1,52,26,48
2958394,Pleasant Hill city,3502,2204,95602,125554,1.3472,29.3,7.8,1,1,90,86,92
