geoid,name,households,working_age_hh,mhi,wahi,ratio,share_65plus_pct,share_under25_pct,reliable,flag,gap_anchored_mhi,gap_anchored_wahi,gap_anchored_ami
27099,Mower County,15719,10291,73074,82717,1.1359,30.6,3.9,1,0,497,477,255
4254656,Norristown borough,12642,9461,66701,75577,1.1359,19.8,5.3,1,0,-767,-171,165
51113,Madison County,5482,3402,84323,97416,1.1359,35.9,2.1,1,0,138,140,143
19047,Crawford County,6331,4114,67027,77609,1.1359,28.6,6.4,1,0,324,274,131
3457000,Paterson city,49865,37285,55997,64395,1.1359,22.1,3.2,1,0,-2341,-4782,1154
1822000,Evansville city,53095,35762,53387,60903,1.1358,26.4,6.3,1,0,-249,1618,1949
48189,Hale County,11024,7447,51897,59369,1.1358,26.2,6.3,1,0,159,209,475
0561670,Russellville city,10399,6891,50877,58133,1.1358,23.9,9.8,0,0,427,583,687
4856348,Pearland city,44410,34902,118842,137090,1.1357,19.6,1.9,1,0,-309,286,-164
5555050,Mukwonago village,3331,2518,98273,106410,1.1357,23.2,1.2,1,0,46,41,40
16007,Bear Lake County,2278,1395,75260,85514,1.1357,37.6,1.1,1,0,37,28,16
46103,Pennington County,46370,30019,74517,84586,1.1357,30.2,5.1,1,0,1285,1252,1006
0648872,Monterey city,12534,8242,102846,116382,1.1357,31.2,3.1,1,0,-518,-450,328
3731400,High Point city,45872,31933,64561,73181,1.1356,25.8,4.6,1,0,465,1198,1569
46083,Lincoln County,27879,20073,99166,112230,1.1356,22.4,5.6,1,0,1305,825,577
18087,LaGrange County,12897,8930,84487,94569,1.1356,26.8,3.9,1,0,451,318,296
0425300,Fountain Hills town,11031,5033,112654,126086,1.1356,53.8,0.6,1,0,-70,15,-71
4835528,Huntsville city,15962,9037,47529,53116,1.1356,23.6,19.8,1,0,-706,-286,100
2606900,Belding city,2157,1563,60373,68795,1.1356,23.7,3.8,1,0,-6,14,32
5357535,Redmond city,33100,26858,162560,186496,1.1355,14.1,4.8,1,0,2406,3274,1440
1864260,Richmond city,14849,9246,45399,51433,1.1355,30.0,7.7,1,0,-215,188,577
2546598,North Attleborough Town city,12984,9271,112665,127221,1.1355,26.5,2.0,1,0,300,156,172
17041,Douglas County,7765,5204,77320,89642,1.1355,30.2,2.8,1,0,305,308,259
1241250,Longwood city,6465,4600,78548,90772,1.1355,28.1,0.7,1,0,-186,-125,-56
4276904,Titusville city,2465,1456,38194,42273,1.1355,36.1,4.8,0,0,-34,-67,119
0660242,Reedley city,7311,5543,63307,74851,1.1355,22.0,2.2,0,0,-433,-56,91
0577090,Wynne city,3133,2079,43250,49837,1.1354,29.4,4.2,0,0,-35,25,91
3915644,Clayton city,5387,3547,92879,105447,1.1354,32.3,1.8,1,0,124,106,112
26121,Muskegon County,67732,45616,65024,74799,1.1354,29.7,2.9,1,0,550,1354,1393
4901310,American Fork city,11516,8665,98878,112354,1.1354,16.4,8.3,1,0,186,149,130
72049,Culebra Municipio,524,282,29630,33750,1.1354,42.2,4.0,0,0,7,24,7
27123,Ramsey County,221327,156004,81568,93548,1.1354,25.0,4.5,1,0,2949,2250,2408
3454870,Old Tappan borough,1938,1266,205385,229839,1.1353,34.7,0.0,0,0,7,16,9
35039,Rio Arriba County,15647,9538,57155,64307,1.1353,36.7,2.4,1,0,362,481,511
13073,Columbia County,55149,40408,95592,108427,1.1352,25.0,1.7,1,0,86,272,33
10003,New Castle County,224173,156569,91166,103944,1.1352,27.4,2.7,1,0,2290,3833,2442
4115250,Coos Bay city,6978,4149,56524,63447,1.1352,37.1,3.5,0,0,12,120,133
50025,Windham County,19784,11856,72217,82696,1.1352,38.4,1.7,1,0,408,431,264
26143,Roscommon County,11579,5974,55246,63188,1.1352,45.7,2.7,1,0,142,172,190
3978932,University Heights city,4686,3283,96971,112033,1.1351,24.6,5.4,0,0,62,61,75
2601740,Alpena city,5088,3141,47545,54422,1.1351,34.2,4.1,0,0,57,127,199
45063,Lexington County,121964,85329,77408,87506,1.1351,27.1,2.9,1,0,1371,1752,1765
5370000,Tacoma city,93033,67597,85884,98032,1.1351,22.2,5.2,1,0,-1866,-438,267
4870904,Sulphur Springs city,6118,4124,62397,71724,1.135,27.6,5.0,1,0,321,329,309
4733280,Hendersonville city,25255,17746,97200,111968,1.135,25.6,4.1,1,0,177,188,173
05085,Lonoke County,28554,20892,72828,82473,1.135,24.3,2.5,1,0,955,1070,791
12129,Wakulla County,12745,8411,81895,90726,1.135,29.4,4.6,1,0,229,168,165
4751560,Murfreesboro city,60683,43957,80108,90734,1.1349,17.8,9.7,1,0,176,-53,387
0630658,Grand Terrace city,4736,3255,83628,98929,1.1349,29.0,2.3,0,0,-128,-234,-116
72099,Moca Municipio,13831,9155,23586,26949,1.1349,32.1,1.7,1,0,128,236,474
1714026,Chicago Heights city,9224,6610,54798,62980,1.1349,26.2,2.1,0,0,-90,44,61
41067,Washington County,235406,173687,107772,122886,1.1349,23.1,3.1,1,0,-428,1208,2308
2759350,Shakopee city,16655,13311,107223,123642,1.1349,17.4,2.7,1,0,164,126,154
29097,Jasper County,49489,33429,60694,68807,1.1349,26.6,5.9,1,0,1040,1656,2206
3771860,Wendell town,4957,3818,95787,110807,1.1348,21.0,2.0,1,0,6,29,60
4970850,South Jordan city,26740,20340,134047,152487,1.1348,21.7,2.2,1,0,78,436,-70
4253568,New Freedom borough,1925,1257,120037,138762,1.1348,34.7,0.0,1,0,1,7,-14
3974608,Steubenville city,7097,4626,48172,54370,1.1348,29.8,5.0,1,0,-32,92,226
47013,Campbell County,17186,11065,51557,58973,1.1348,31.9,3.7,1,0,394,515,681
18091,LaPorte County,43633,28380,71055,79913,1.1348,31.8,3.2,1,0,1450,1725,1509
4105350,Beaverton city,41156,30808,98622,111196,1.1347,21.7,3.4,1,0,-282,106,804
3985036,Wickliffe city,5093,3260,81750,91984,1.1347,34.3,1.7,1,0,55,94,106
1365296,Rincon city,4376,3385,74417,84208,1.1347,17.6,5.0,0,0,47,15,59
50017,Orange County,12742,8134,82232,94515,1.1347,35.2,0.9,1,0,133,164,152
47151,Scott County,8755,5894,44711,50617,1.1347,29.0,3.6,1,0,220,302,203
2576030,Westfield city,15822,10875,87753,99298,1.1347,29.2,2.0,1,0,654,525,134
1050800,New Castle city,2774,1752,89205,102037,1.1347,36.8,0.0,0,0,-17,69,110
4822660,Edinburg city,35680,27155,59466,67593,1.1347,17.2,6.7,1,0,872,1387,1879
47047,Fayette County,17210,11144,88456,99077,1.1346,33.9,1.3,1,0,295,231,267
1780645,Westmont village,10694,6933,88090,101573,1.1346,32.5,2.7,1,0,343,576,178
53055,San Juan County,9015,4632,84800,97088,1.1345,46.6,2.0,1,0,19,-33,-3
3447610,Montvale borough,3126,2140,178269,203670,1.1345,31.4,0.2,0,0,23,26,-37
40071,Kay County,16776,10567,58423,66540,1.1345,32.4,4.7,1,0,622,792,752
04013,Maricopa County,1730696,1210933,89300,101789,1.1345,25.8,4.2,1,0,-18729,-739,-1605
2709154,Byron city,2381,1793,124010,140828,1.1345,22.0,2.6,1,0,14,19,16
29145,Newton County,22129,14560,66301,74675,1.1344,30.8,3.5,1,0,868,845,788
0639122,Lafayette city,9623,6391,228250,250328,1.1344,33.3,0.3,0,0,312,477,203
0656112,Patterson city,6525,4997,93650,108521,1.1344,20.1,3.3,1,0,98,48,67
4272648,South Williamsport borough,2665,1838,64583,75293,1.1344,27.6,3.5,0,0,133,191,192
0670280,Saratoga city,10783,6752,250001,266719,1.1344,37.1,0.3,0,0,172,210,-88
21125,Laurel County,23996,16855,57771,66112,1.1344,26.6,3.2,1,0,661,810,956
1715664,Colona city,1978,1374,79700,92091,1.1344,28.7,1.8,1,0,183,189,171
29027,Callaway County,16485,11109,74176,83754,1.1344,29.0,3.7,1,0,653,681,488
47181,Wayne County,5982,3683,52294,58464,1.1343,34.8,3.6,1,0,75,37,125
0633364,Hermosa Beach city,8934,7087,166442,192113,1.1342,18.9,1.8,0,0,228,262,229
3428680,Hackensack city,20214,14407,84277,96088,1.1342,26.1,2.6,1,0,-1241,-707,62
3922694,Dublin city,17995,13703,160296,183943,1.1342,23.2,0.7,1,0,364,515,179
48479,Webb County,81373,61471,63058,72156,1.1342,21.0,3.5,1,0,605,1814,2935
3224900,Fernley city,8789,6497,89517,97850,1.1342,24.2,1.9,1,0,-136,-100,-46
2756950,St. Francis city,2989,2337,111198,125076,1.1342,18.4,3.4,1,0,36,39,43
1940845,Keokuk city,4350,2780,52711,61099,1.1342,32.4,3.7,1,0,13,162,58
09180,Southeastern Connecticut Planning Region,115768,76653,86586,98897,1.1341,29.6,4.1,1,0,989,2075,806
23013,Knox County,18484,10477,74096,83598,1.1341,40.3,3.0,1,0,389,439,335
1767548,Sandwich city,2743,1908,80768,91714,1.1341,28.6,1.8,1,0,69,58,35
1021200,Dover city,15428,10072,60199,68294,1.1341,29.6,5.2,1,0,-816,-1091,436
47001,Anderson County,32755,21300,66183,76428,1.134,31.7,3.3,1,0,664,905,507
47169,Trousdale County,3700,2638,72747,76622,1.134,24.7,4.0,0,0,225,194,25
37039,Cherokee County,13241,7126,53628,61674,1.134,43.1,3.1,1,0,171,187,310
5380010,Yakima city,35726,23656,62815,71789,1.134,29.7,4.1,1,0,784,1066,1035
4513015,Central town,1942,1283,60258,69023,1.134,12.5,21.4,0,0,150,93,122
1743250,Libertyville village,7664,5513,165667,192551,1.1339,27.7,0.3,1,0,158,186,63
47079,Henry County,13452,8254,50613,57557,1.1339,36.1,2.5,1,0,445,452,319
4065000,Sallisaw city,3427,2211,48036,53125,1.1339,30.5,5.0,0,0,0,57,212
0901150,Ansonia city,7212,4899,85877,94675,1.1339,29.4,2.7,1,0,41,109,
4875428,Victoria city,25550,17620,67226,75706,1.1339,26.0,5.0,1,0,533,1222,1205
1712476,Channahon village,4547,3335,119494,138782,1.1338,22.1,4.5,1,0,40,40,39
1249600,North Palm Beach village,6478,3585,90049,100175,1.1338,43.2,1.5,1,0,-81,-144,-45
54071,Pendleton County,2342,1245,64931,73345,1.1338,44.2,2.6,0,0,61,71,73
3654485,Ogdensburg city,4012,2827,61824,69221,1.1338,25.6,3.9,1,0,244,256,201
4923200,Enoch city,2280,1678,80750,92075,1.1338,22.8,3.6,1,0,17,33,30
32007,Elko County,19627,14841,86487,96590,1.1337,20.2,4.1,1,0,618,592,462
21107,Hopkins County,18397,11963,56815,64690,1.1337,30.9,4.1,1,0,354,544,647
0557170,Prairie Grove city,2769,1968,70701,79199,1.1337,25.1,3.8,0,0,39,63,105
3446680,Millville city,11845,7577,70275,79476,1.1337,33.9,2.1,0,0,-3,405,451
30103,Treasure County,360,251,67917,76833,1.1336,30.3,0.0,0,0,18,29,29
0163288,Rainbow City city,4131,2671,56398,63066,1.1336,29.9,5.4,0,0,15,171,157
0462000,Safford city,3681,2333,65647,73678,1.1336,27.7,8.9,1,0,85,73,151
